State,District,Year,Month,Hour,Weather_Condition,Road_Type,Vehicle_Type,Cause_of_Accident,Accident_Severity
Kerala,Kochi,2021,12,2,Foggy,Rural Road,Truck,Overspeeding,Minor Injury
Rajasthan,Pune,2023,6,12,Cloudy,State Highway,Car,Poor Road Condition,Minor Injury
Gujarat,Ahmedabad,2021,10,22,Foggy,State Highway,Bus,Overspeeding,Minor Injury
Rajasthan,Pune,2022,9,16,Cloudy,Urban Road,Bus,Overspeeding,Grievous Injury
Rajasthan,Mumbai,2018,10,12,Foggy,Urban Road,Truck,Signal Jumping,Grievous Injury
Uttar Pradesh,Jaipur,2021,4,18,Rainy,Urban Road,Bus,Overspeeding,Fatal
Tamil Nadu,Ahmedabad,2022,1,21,Foggy,National Highway,Car,Wrong Side Driving,Fatal
Tamil Nadu,Pune,2017,5,8,Clear,Urban Road,Truck,Overspeeding,Minor Injury
Uttar Pradesh,Nagpur,2018,6,20,Rainy,National Highway,Car,Poor Road Condition,Fatal
Telangana,Jaipur,2018,6,15,Clear,Rural Road,Bus,Poor Road Condition,Grievous Injury
Karnataka,Bhopal,2019,12,4,Clear,Rural Road,Bus,Overspeeding,Grievous Injury
Telangana,Ahmedabad,2020,1,8,Rainy,Rural Road,Auto Rickshaw,Signal Jumping,Minor Injury
Maharashtra,Ahmedabad,2019,7,8,Clear,National Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Maharashtra,Bhopal,2017,8,5,Clear,Rural Road,Two-Wheeler,Mechanical Failure,Minor Injury
Rajasthan,Kochi,2022,12,20,Cloudy,Rural Road,Truck,Wrong Side Driving,Minor Injury
Gujarat,Nagpur,2018,5,9,Foggy,National Highway,Car,Signal Jumping,Minor Injury
Gujarat,Ahmedabad,2018,2,17,Clear,Urban Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Tamil Nadu,Pune,2023,2,10,Foggy,Urban Road,Truck,Wrong Side Driving,Minor Injury
Madhya Pradesh,Ahmedabad,2021,11,23,Clear,Urban Road,Bus,Overspeeding,Minor Injury
Telangana,Jaipur,2020,5,23,Rainy,Urban Road,Two-Wheeler,Wrong Side Driving,Minor Injury
Kerala,Ahmedabad,2020,7,14,Rainy,State Highway,Car,Overspeeding,Minor Injury
Andhra Pradesh,Pune,2021,7,6,Cloudy,Rural Road,Auto Rickshaw,Wrong Side Driving,Fatal
Gujarat,Hyderabad,2017,4,13,Rainy,Urban Road,Auto Rickshaw,Poor Road Condition,Minor Injury
Andhra Pradesh,Jaipur,2020,11,7,Cloudy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Rajasthan,Chennai,2018,3,18,Rainy,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Andhra Pradesh,Chennai,2017,9,14,Foggy,Urban Road,Truck,Drunk Driving,Grievous Injury
Kerala,Jaipur,2019,12,18,Clear,Urban Road,Car,Overspeeding,Grievous Injury
Uttar Pradesh,Nagpur,2019,7,17,Clear,State Highway,Bus,Mechanical Failure,Grievous Injury
Kerala,Hyderabad,2017,2,16,Cloudy,State Highway,Car,Overspeeding,Grievous Injury
Andhra Pradesh,Jaipur,2018,1,2,Rainy,National Highway,Bus,Mechanical Failure,Minor Injury
Kerala,Pune,2023,11,2,Foggy,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Karnataka,Mumbai,2019,2,6,Foggy,Urban Road,Truck,Drunk Driving,Minor Injury
Rajasthan,Bengaluru,2022,12,9,Rainy,National Highway,Bus,Poor Road Condition,Grievous Injury
Telangana,Ahmedabad,2018,3,16,Clear,State Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Uttar Pradesh,Kochi,2021,5,14,Rainy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Gujarat,Hyderabad,2020,3,7,Clear,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Maharashtra,Pune,2023,10,16,Rainy,National Highway,Car,Overspeeding,Grievous Injury
Telangana,Kochi,2023,9,2,Clear,State Highway,Truck,Signal Jumping,Minor Injury
Maharashtra,Chennai,2017,10,3,Cloudy,Rural Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Rajasthan,Jaipur,2020,4,7,Foggy,Urban Road,Truck,Drunk Driving,Minor Injury
Uttar Pradesh,Hyderabad,2021,7,12,Rainy,National Highway,Car,Overspeeding,Minor Injury
Tamil Nadu,Bhopal,2019,4,0,Clear,State Highway,Bus,Drunk Driving,Fatal
Gujarat,Ahmedabad,2023,3,17,Clear,Urban Road,Bus,Wrong Side Driving,Minor Injury
Karnataka,Bengaluru,2022,10,10,Clear,State Highway,Truck,Poor Road Condition,Grievous Injury
Tamil Nadu,Chennai,2018,1,20,Cloudy,Urban Road,Bus,Mechanical Failure,Minor Injury
Rajasthan,Jaipur,2023,12,5,Clear,Rural Road,Bus,Overspeeding,Grievous Injury
Telangana,Ahmedabad,2023,9,15,Foggy,Rural Road,Bus,Overspeeding,Minor Injury
Karnataka,Chennai,2018,11,20,Cloudy,Urban Road,Two-Wheeler,Overspeeding,Fatal
Kerala,Bhopal,2021,1,18,Clear,Urban Road,Auto Rickshaw,Mechanical Failure,Fatal
Andhra Pradesh,Kochi,2017,11,22,Foggy,State Highway,Auto Rickshaw,Drunk Driving,Fatal
Karnataka,Bengaluru,2023,1,16,Clear,Urban Road,Car,Mechanical Failure,Minor Injury
Rajasthan,Bengaluru,2023,1,17,Foggy,National Highway,Bus,Poor Road Condition,Minor Injury
Madhya Pradesh,Ahmedabad,2020,5,10,Foggy,Urban Road,Truck,Drunk Driving,Minor Injury
Andhra Pradesh,Pune,2022,7,13,Clear,Urban Road,Bus,Poor Road Condition,Fatal
Maharashtra,Ahmedabad,2019,7,11,Foggy,Rural Road,Car,Overspeeding,Minor Injury
Gujarat,Chennai,2017,10,19,Rainy,Rural Road,Bus,Mechanical Failure,Grievous Injury
Maharashtra,Pune,2022,1,23,Clear,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Karnataka,Bengaluru,2022,6,6,Rainy,Urban Road,Car,Wrong Side Driving,Minor Injury
Maharashtra,Mumbai,2021,9,16,Foggy,National Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Rajasthan,Bengaluru,2021,6,4,Cloudy,National Highway,Auto Rickshaw,Drunk Driving,Fatal
Kerala,Ahmedabad,2018,4,21,Cloudy,Urban Road,Two-Wheeler,Overspeeding,Fatal
Telangana,Chennai,2019,10,13,Foggy,State Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Gujarat,Pune,2017,9,23,Rainy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Maharashtra,Jaipur,2018,3,12,Clear,State Highway,Auto Rickshaw,Overspeeding,Fatal
Maharashtra,Pune,2023,10,23,Cloudy,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Karnataka,Bhopal,2019,4,11,Rainy,State Highway,Bus,Wrong Side Driving,Minor Injury
Telangana,Nagpur,2020,4,13,Cloudy,Urban Road,Car,Signal Jumping,Grievous Injury
Tamil Nadu,Nagpur,2020,4,8,Cloudy,Rural Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Maharashtra,Hyderabad,2018,6,3,Foggy,Urban Road,Car,Wrong Side Driving,Minor Injury
Rajasthan,Kochi,2017,11,21,Clear,State Highway,Car,Drunk Driving,Minor Injury
Madhya Pradesh,Hyderabad,2019,11,18,Rainy,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Gujarat,Hyderabad,2020,7,0,Rainy,Urban Road,Car,Mechanical Failure,Minor Injury
Maharashtra,Pune,2020,9,12,Clear,Urban Road,Two-Wheeler,Overspeeding,Minor Injury
Rajasthan,Chennai,2017,11,5,Rainy,Urban Road,Truck,Drunk Driving,Minor Injury
Rajasthan,Hyderabad,2018,3,0,Cloudy,Rural Road,Two-Wheeler,Poor Road Condition,Fatal
Gujarat,Ahmedabad,2021,8,21,Clear,Rural Road,Auto Rickshaw,Signal Jumping,Grievous Injury
Tamil Nadu,Pune,2023,8,16,Cloudy,Rural Road,Two-Wheeler,Poor Road Condition,Grievous Injury
Rajasthan,Chennai,2022,1,2,Cloudy,National Highway,Truck,Overspeeding,Minor Injury
Madhya Pradesh,Nagpur,2023,5,16,Cloudy,National Highway,Two-Wheeler,Wrong Side Driving,Fatal
Rajasthan,Mumbai,2019,10,1,Clear,Urban Road,Car,Overspeeding,Grievous Injury
Rajasthan,Ahmedabad,2020,5,21,Rainy,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Rajasthan,Jaipur,2022,12,6,Cloudy,State Highway,Car,Overspeeding,Minor Injury
Kerala,Kochi,2022,8,0,Clear,State Highway,Car,Signal Jumping,Minor Injury
Kerala,Jaipur,2021,8,20,Clear,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Tamil Nadu,Chennai,2022,12,21,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Maharashtra,Bhopal,2017,2,14,Foggy,State Highway,Bus,Wrong Side Driving,Minor Injury
Rajasthan,Chennai,2018,3,3,Foggy,Urban Road,Truck,Drunk Driving,Minor Injury
Telangana,Mumbai,2019,2,5,Rainy,Rural Road,Car,Wrong Side Driving,Grievous Injury
Maharashtra,Nagpur,2017,1,20,Rainy,Rural Road,Car,Drunk Driving,Minor Injury
Tamil Nadu,Bengaluru,2018,2,12,Rainy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Uttar Pradesh,Chennai,2017,10,22,Rainy,State Highway,Auto Rickshaw,Poor Road Condition,Minor Injury
Maharashtra,Nagpur,2020,6,12,Cloudy,National Highway,Two-Wheeler,Overspeeding,Grievous Injury
Maharashtra,Jaipur,2020,12,19,Clear,Urban Road,Car,Overspeeding,Minor Injury
Andhra Pradesh,Chennai,2021,1,0,Clear,National Highway,Car,Signal Jumping,Grievous Injury
Karnataka,Chennai,2017,6,1,Foggy,Rural Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Andhra Pradesh,Hyderabad,2023,1,5,Clear,Rural Road,Car,Wrong Side Driving,Minor Injury
Madhya Pradesh,Jaipur,2022,2,10,Rainy,State Highway,Truck,Overspeeding,Minor Injury
Kerala,Kochi,2020,8,17,Clear,Urban Road,Bus,Poor Road Condition,Minor Injury
Kerala,Kochi,2018,6,12,Cloudy,Urban Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Karnataka,Ahmedabad,2021,9,20,Cloudy,Urban Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Gujarat,Bhopal,2022,1,11,Foggy,State Highway,Car,Overspeeding,Fatal
Gujarat,Bengaluru,2019,5,19,Rainy,National Highway,Bus,Drunk Driving,Minor Injury
Tamil Nadu,Chennai,2017,7,6,Clear,Urban Road,Bus,Wrong Side Driving,Fatal
Karnataka,Chennai,2023,9,19,Foggy,National Highway,Auto Rickshaw,Signal Jumping,Grievous Injury
Maharashtra,Ahmedabad,2020,11,6,Clear,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Gujarat,Bhopal,2023,9,23,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Rajasthan,Jaipur,2022,4,6,Foggy,National Highway,Truck,Overspeeding,Grievous Injury
Telangana,Chennai,2018,4,1,Cloudy,Urban Road,Car,Overspeeding,Minor Injury
Maharashtra,Nagpur,2017,4,10,Cloudy,National Highway,Truck,Signal Jumping,Grievous Injury
Madhya Pradesh,Pune,2023,3,0,Cloudy,Urban Road,Auto Rickshaw,Wrong Side Driving,Fatal
Rajasthan,Bhopal,2018,8,20,Foggy,Rural Road,Bus,Overspeeding,Minor Injury
Rajasthan,Chennai,2021,5,12,Cloudy,Rural Road,Car,Signal Jumping,Fatal
Karnataka,Bhopal,2020,7,11,Cloudy,Urban Road,Car,Overspeeding,Minor Injury
Tamil Nadu,Kochi,2020,10,12,Rainy,National Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Madhya Pradesh,Bengaluru,2021,6,6,Clear,Urban Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Gujarat,Chennai,2018,9,11,Clear,Urban Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Karnataka,Bengaluru,2023,3,16,Rainy,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Gujarat,Mumbai,2017,6,7,Rainy,Rural Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Karnataka,Pune,2018,3,2,Cloudy,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Karnataka,Ahmedabad,2017,2,6,Cloudy,Rural Road,Car,Overspeeding,Grievous Injury
Karnataka,Bengaluru,2022,3,18,Clear,Urban Road,Truck,Signal Jumping,Grievous Injury
Tamil Nadu,Chennai,2021,2,19,Rainy,National Highway,Bus,Poor Road Condition,Minor Injury
Karnataka,Hyderabad,2019,2,7,Rainy,State Highway,Auto Rickshaw,Drunk Driving,Fatal
Uttar Pradesh,Ahmedabad,2017,10,13,Cloudy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Telangana,Ahmedabad,2020,11,13,Clear,State Highway,Car,Drunk Driving,Minor Injury
Gujarat,Jaipur,2022,7,1,Foggy,National Highway,Bus,Overspeeding,Fatal
Maharashtra,Bengaluru,2020,10,5,Rainy,State Highway,Car,Mechanical Failure,Grievous Injury
Andhra Pradesh,Hyderabad,2022,3,15,Clear,State Highway,Two-Wheeler,Overspeeding,Grievous Injury
Madhya Pradesh,Bengaluru,2020,8,8,Clear,Urban Road,Truck,Mechanical Failure,Minor Injury
Kerala,Jaipur,2018,2,20,Clear,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Tamil Nadu,Pune,2023,11,14,Rainy,National Highway,Car,Drunk Driving,Fatal
Maharashtra,Chennai,2018,11,18,Foggy,Rural Road,Two-Wheeler,Drunk Driving,Minor Injury
Rajasthan,Kochi,2018,7,14,Cloudy,State Highway,Car,Drunk Driving,Minor Injury
Uttar Pradesh,Kochi,2023,3,21,Foggy,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Kerala,Bengaluru,2022,9,11,Clear,State Highway,Car,Mechanical Failure,Minor Injury
Andhra Pradesh,Jaipur,2022,7,8,Rainy,State Highway,Truck,Wrong Side Driving,Minor Injury
Maharashtra,Bhopal,2023,9,15,Rainy,State Highway,Truck,Wrong Side Driving,Grievous Injury
Kerala,Chennai,2020,2,5,Foggy,Urban Road,Truck,Signal Jumping,Minor Injury
Maharashtra,Bengaluru,2017,6,19,Foggy,State Highway,Car,Wrong Side Driving,Minor Injury
Uttar Pradesh,Bhopal,2022,5,14,Rainy,Urban Road,Bus,Signal Jumping,Minor Injury
Andhra Pradesh,Chennai,2020,2,12,Foggy,National Highway,Two-Wheeler,Drunk Driving,Fatal
Rajasthan,Bhopal,2017,4,20,Cloudy,State Highway,Two-Wheeler,Overspeeding,Grievous Injury
Karnataka,Ahmedabad,2023,4,22,Cloudy,Rural Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Gujarat,Bengaluru,2018,8,9,Cloudy,National Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Rajasthan,Jaipur,2022,7,13,Clear,Rural Road,Truck,Drunk Driving,Minor Injury
Karnataka,Chennai,2019,5,2,Foggy,State Highway,Bus,Drunk Driving,Minor Injury
Tamil Nadu,Kochi,2018,9,11,Rainy,National Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Telangana,Bengaluru,2021,1,0,Clear,Urban Road,Bus,Drunk Driving,Minor Injury
Madhya Pradesh,Chennai,2017,4,23,Rainy,State Highway,Car,Wrong Side Driving,Minor Injury
Madhya Pradesh,Chennai,2019,5,20,Foggy,State Highway,Car,Overspeeding,Grievous Injury
Gujarat,Bhopal,2018,8,15,Foggy,Urban Road,Two-Wheeler,Poor Road Condition,Minor Injury
Andhra Pradesh,Bhopal,2022,3,9,Clear,Rural Road,Auto Rickshaw,Overspeeding,Grievous Injury
Uttar Pradesh,Hyderabad,2019,12,8,Clear,National Highway,Truck,Signal Jumping,Grievous Injury
Andhra Pradesh,Bengaluru,2020,5,17,Cloudy,National Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Uttar Pradesh,Mumbai,2017,3,0,Clear,Urban Road,Truck,Poor Road Condition,Minor Injury
Andhra Pradesh,Nagpur,2021,7,9,Cloudy,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Telangana,Mumbai,2020,10,6,Clear,Urban Road,Truck,Poor Road Condition,Fatal
Tamil Nadu,Chennai,2019,3,9,Cloudy,Rural Road,Auto Rickshaw,Overspeeding,Fatal
Tamil Nadu,Hyderabad,2018,7,11,Foggy,Rural Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Karnataka,Chennai,2017,2,10,Rainy,National Highway,Car,Poor Road Condition,Minor Injury
Kerala,Mumbai,2022,7,8,Foggy,Urban Road,Two-Wheeler,Overspeeding,Grievous Injury
Tamil Nadu,Chennai,2021,9,4,Cloudy,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Tamil Nadu,Bhopal,2018,12,3,Foggy,Urban Road,Auto Rickshaw,Overspeeding,Grievous Injury
Rajasthan,Bengaluru,2021,5,19,Clear,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Rajasthan,Kochi,2022,12,12,Clear,National Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Karnataka,Mumbai,2023,6,7,Rainy,State Highway,Car,Wrong Side Driving,Grievous Injury
Kerala,Nagpur,2017,10,15,Rainy,National Highway,Auto Rickshaw,Signal Jumping,Fatal
Gujarat,Nagpur,2019,11,0,Foggy,Urban Road,Truck,Poor Road Condition,Minor Injury
Rajasthan,Bhopal,2021,3,16,Rainy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Gujarat,Bengaluru,2017,10,14,Clear,State Highway,Two-Wheeler,Overspeeding,Minor Injury
Maharashtra,Pune,2021,5,23,Clear,National Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Rajasthan,Pune,2018,5,14,Clear,Urban Road,Two-Wheeler,Overspeeding,Minor Injury
Telangana,Jaipur,2021,3,17,Cloudy,Urban Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Kerala,Jaipur,2023,8,5,Cloudy,Urban Road,Truck,Wrong Side Driving,Minor Injury
Karnataka,Mumbai,2018,6,1,Foggy,Urban Road,Car,Drunk Driving,Grievous Injury
Maharashtra,Bhopal,2018,3,4,Cloudy,Urban Road,Bus,Poor Road Condition,Minor Injury
Kerala,Bhopal,2017,1,18,Rainy,State Highway,Auto Rickshaw,Drunk Driving,Grievous Injury
Telangana,Chennai,2020,10,6,Clear,National Highway,Auto Rickshaw,Poor Road Condition,Grievous Injury
Kerala,Nagpur,2022,1,8,Foggy,National Highway,Bus,Wrong Side Driving,Fatal
Telangana,Nagpur,2021,11,1,Cloudy,Rural Road,Bus,Drunk Driving,Minor Injury
Telangana,Nagpur,2019,10,6,Foggy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Gujarat,Hyderabad,2018,12,23,Foggy,State Highway,Truck,Poor Road Condition,Grievous Injury
Andhra Pradesh,Bengaluru,2020,2,13,Rainy,Rural Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Maharashtra,Ahmedabad,2018,10,23,Rainy,State Highway,Auto Rickshaw,Signal Jumping,Fatal
Kerala,Chennai,2020,5,22,Rainy,National Highway,Car,Wrong Side Driving,Grievous Injury
Uttar Pradesh,Pune,2020,7,14,Foggy,State Highway,Bus,Signal Jumping,Minor Injury
Maharashtra,Bhopal,2019,1,11,Foggy,State Highway,Bus,Poor Road Condition,Minor Injury
Andhra Pradesh,Pune,2020,1,19,Rainy,National Highway,Auto Rickshaw,Mechanical Failure,Grievous Injury
Maharashtra,Hyderabad,2019,4,3,Cloudy,State Highway,Bus,Mechanical Failure,Minor Injury
Tamil Nadu,Pune,2017,10,12,Clear,Rural Road,Two-Wheeler,Poor Road Condition,Grievous Injury
Uttar Pradesh,Nagpur,2018,6,8,Rainy,Rural Road,Car,Wrong Side Driving,Minor Injury
Andhra Pradesh,Kochi,2019,9,11,Cloudy,Urban Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Gujarat,Chennai,2022,1,9,Foggy,Rural Road,Car,Signal Jumping,Grievous Injury
Kerala,Kochi,2023,11,8,Foggy,Rural Road,Two-Wheeler,Poor Road Condition,Fatal
Madhya Pradesh,Jaipur,2018,10,20,Cloudy,National Highway,Car,Mechanical Failure,Fatal
Andhra Pradesh,Kochi,2023,5,22,Cloudy,Rural Road,Bus,Wrong Side Driving,Grievous Injury
Karnataka,Ahmedabad,2022,9,6,Foggy,National Highway,Auto Rickshaw,Poor Road Condition,Minor Injury
Kerala,Bhopal,2021,8,11,Foggy,Rural Road,Car,Mechanical Failure,Minor Injury
Andhra Pradesh,Hyderabad,2022,7,15,Foggy,National Highway,Truck,Poor Road Condition,Grievous Injury
Tamil Nadu,Bhopal,2017,10,14,Foggy,National Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Madhya Pradesh,Ahmedabad,2021,2,6,Rainy,State Highway,Car,Overspeeding,Minor Injury
Tamil Nadu,Bhopal,2021,9,7,Foggy,Rural Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Madhya Pradesh,Kochi,2020,12,6,Foggy,National Highway,Car,Wrong Side Driving,Fatal
Karnataka,Bengaluru,2022,8,10,Cloudy,Rural Road,Car,Overspeeding,Grievous Injury
Kerala,Bhopal,2020,11,3,Cloudy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Gujarat,Jaipur,2022,10,17,Cloudy,State Highway,Car,Poor Road Condition,Minor Injury
Tamil Nadu,Chennai,2021,10,18,Foggy,State Highway,Truck,Drunk Driving,Fatal
Tamil Nadu,Chennai,2020,9,6,Cloudy,National Highway,Bus,Poor Road Condition,Minor Injury
Telangana,Pune,2023,9,12,Foggy,Rural Road,Truck,Signal Jumping,Minor Injury
Madhya Pradesh,Mumbai,2018,9,8,Foggy,State Highway,Truck,Mechanical Failure,Minor Injury
Rajasthan,Kochi,2022,3,17,Cloudy,State Highway,Two-Wheeler,Overspeeding,Grievous Injury
Kerala,Nagpur,2022,7,6,Clear,State Highway,Truck,Mechanical Failure,Minor Injury
Madhya Pradesh,Ahmedabad,2020,12,19,Rainy,National Highway,Car,Poor Road Condition,Grievous Injury
Telangana,Hyderabad,2022,1,15,Rainy,Urban Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Maharashtra,Kochi,2021,9,22,Clear,National Highway,Bus,Overspeeding,Minor Injury
Madhya Pradesh,Chennai,2020,9,4,Clear,Urban Road,Bus,Wrong Side Driving,Grievous Injury
Gujarat,Pune,2020,3,6,Foggy,State Highway,Bus,Wrong Side Driving,Fatal
Kerala,Bhopal,2019,5,5,Cloudy,Urban Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Telangana,Nagpur,2023,12,1,Rainy,National Highway,Truck,Wrong Side Driving,Grievous Injury
Maharashtra,Nagpur,2023,8,6,Rainy,National Highway,Two-Wheeler,Mechanical Failure,Fatal
Uttar Pradesh,Mumbai,2019,6,20,Clear,Rural Road,Car,Overspeeding,Fatal
Telangana,Bengaluru,2021,10,8,Cloudy,Rural Road,Bus,Wrong Side Driving,Minor Injury
Uttar Pradesh,Mumbai,2018,10,12,Rainy,National Highway,Car,Drunk Driving,Minor Injury
Kerala,Bhopal,2022,9,16,Rainy,Rural Road,Truck,Signal Jumping,Fatal
Tamil Nadu,Kochi,2017,3,16,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Grievous Injury
Telangana,Jaipur,2022,12,14,Foggy,Urban Road,Bus,Drunk Driving,Grievous Injury
Karnataka,Ahmedabad,2017,7,17,Foggy,National Highway,Truck,Overspeeding,Fatal
Uttar Pradesh,Nagpur,2023,6,23,Rainy,National Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Gujarat,Hyderabad,2021,5,14,Rainy,Rural Road,Bus,Wrong Side Driving,Grievous Injury
Karnataka,Kochi,2018,4,10,Foggy,National Highway,Truck,Drunk Driving,Minor Injury
Andhra Pradesh,Hyderabad,2018,5,11,Foggy,Rural Road,Car,Drunk Driving,Grievous Injury
Andhra Pradesh,Pune,2018,4,22,Cloudy,State Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Maharashtra,Hyderabad,2019,3,16,Rainy,National Highway,Bus,Poor Road Condition,Minor Injury
Tamil Nadu,Nagpur,2021,7,11,Rainy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Kerala,Nagpur,2017,6,6,Clear,State Highway,Two-Wheeler,Wrong Side Driving,Fatal
Telangana,Nagpur,2018,4,23,Foggy,National Highway,Auto Rickshaw,Drunk Driving,Fatal
Rajasthan,Kochi,2021,9,6,Foggy,Rural Road,Auto Rickshaw,Overspeeding,Fatal
Gujarat,Kochi,2022,1,20,Foggy,Rural Road,Truck,Mechanical Failure,Minor Injury
Uttar Pradesh,Ahmedabad,2017,1,22,Rainy,State Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Kerala,Chennai,2023,9,9,Cloudy,Rural Road,Bus,Overspeeding,Minor Injury
Karnataka,Bengaluru,2019,7,15,Rainy,Rural Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Andhra Pradesh,Bhopal,2020,2,10,Clear,State Highway,Bus,Overspeeding,Minor Injury
Gujarat,Bhopal,2017,11,15,Clear,National Highway,Car,Signal Jumping,Fatal
Rajasthan,Pune,2023,10,1,Cloudy,National Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Telangana,Mumbai,2023,5,1,Foggy,Urban Road,Car,Drunk Driving,Grievous Injury
Maharashtra,Ahmedabad,2023,4,17,Clear,National Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Rajasthan,Chennai,2022,1,4,Rainy,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Gujarat,Jaipur,2017,12,13,Clear,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Rajasthan,Pune,2017,9,7,Clear,Urban Road,Car,Poor Road Condition,Grievous Injury
Gujarat,Kochi,2020,6,5,Cloudy,Urban Road,Two-Wheeler,Signal Jumping,Minor Injury
Gujarat,Chennai,2018,11,8,Cloudy,National Highway,Car,Overspeeding,Minor Injury
Madhya Pradesh,Nagpur,2022,12,5,Rainy,Urban Road,Truck,Overspeeding,Minor Injury
Uttar Pradesh,Kochi,2023,6,20,Foggy,Urban Road,Car,Overspeeding,Minor Injury
Andhra Pradesh,Mumbai,2020,4,16,Cloudy,Urban Road,Truck,Signal Jumping,Grievous Injury
Madhya Pradesh,Mumbai,2017,2,7,Cloudy,National Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Telangana,Bhopal,2022,8,2,Foggy,National Highway,Car,Drunk Driving,Fatal
Madhya Pradesh,Bengaluru,2019,8,11,Clear,National Highway,Truck,Overspeeding,Minor Injury
Tamil Nadu,Bengaluru,2017,3,12,Rainy,National Highway,Car,Poor Road Condition,Minor Injury
Tamil Nadu,Jaipur,2019,7,17,Rainy,State Highway,Bus,Overspeeding,Minor Injury
Andhra Pradesh,Kochi,2021,7,22,Clear,National Highway,Bus,Signal Jumping,Minor Injury
Rajasthan,Kochi,2019,5,10,Foggy,Rural Road,Two-Wheeler,Signal Jumping,Minor Injury
Uttar Pradesh,Mumbai,2017,5,1,Foggy,Urban Road,Bus,Drunk Driving,Minor Injury
Andhra Pradesh,Nagpur,2020,8,13,Cloudy,National Highway,Auto Rickshaw,Drunk Driving,Fatal
Gujarat,Nagpur,2017,4,0,Foggy,Rural Road,Truck,Poor Road Condition,Minor Injury
Karnataka,Hyderabad,2017,1,14,Rainy,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Uttar Pradesh,Nagpur,2021,1,17,Rainy,Rural Road,Bus,Poor Road Condition,Grievous Injury
